;random sample of disease genes;LCC of random disease genes;LCC size of random disease genes
37;[7515, 7037, 6571, 6697, 57522, 64135, 4723, 11330, 5784, 9096, 567, 6855, 2806, 5255, 4137, 26284, 6305, 122553, 65992, 104, 6389, 92211, 11232, 207, 1785, 610, 256297, 29927, 215, 55969, 72, 10483, 79813, 658, 1962, 8506, 55159, 23233, 1200, 286410, 51168, 3762, 4935, 3251, 55753, 84868, 1509, 6327, 267012, 25959, 728294, 7498, 10716, 56729, 6548, 7355, 5604, 7140, 6554, 6650, 27068, 9499, 4153, 27241, 673, 2549, 95681, 23155, 57122, 89765, 776, 2289, 23500, 473, 4808, 6843, 29926, 22930, 1748, 3664, 2186, 165918, 8241, 7137, 7401, 7287, 89970, 5081, 10464];[104, 1962, 23500, 215];4
38;[78989, 22930, 5521, 54507, 3394, 9897, 9851, 8787, 1380, 3155, 5837, 1617, 25915, 11128, 22861, 4653, 1108, 85440, 317662, 3587, 9885, 8547, 5052, 3954, 3781, 5649, 1605, 7428, 23250, 5696, 2906, 84277, 4792, 8822, 2034, 5781, 51284, 9853, 10000, 55023, 10566, 27034, 55163, 1859, 1540, 6999, 9526, 1559, 55152, 4352, 4087, 7355, 4131, 2073, 255758, 5894, 6347, 55191, 63925, 208, 286887, 23189, 128, 400916, 50619, 3798, 283847, 2903, 6092, 26119, 7125, 773, 4953, 3835, 1896, 1537, 6010, 3932, 2891, 10878, 7249, 570, 80185, 155, 4935, 1497, 84823, 9663, 55154];[2034, 4131, 7428, 55023];4
39;[3187, 9984, 6208, 283, 4601, 286262, 4907, 1741, 1414, 204219, 871, 6314, 4720, 1351, 3371, 1759, 285590, 339983, 157680, 6891, 5324, 7516, 645104, 22873, 171023, 6530, 2729, 3953, 23321, 351, 158, 84816, 26523, 27077, 7369, 79971, 81624, 51062, 25790, 5518, 10654, 3008, 2896, 6399, 57122, 3572, 1288, 4359, 79587, 5604, 5455, 23435, 6774, 9663, 8930, 11330, 89884, 8398, 23258, 6948, 23396, 5940, 64858, 439, 10466, 55107, 2694, 171019, 1801, 54888, 83636, 7168, 4683, 80320, 7401, 23363, 3273, 60558, 4849, 2771, 91647, 4141, 2261, 8243, 25828, 8192, 254428, 114034, 221421];[8192, 3008, 8930, 1288, 6314, 23435, 171023, 2896, 114034, 3187, 6774, 351];12
40;[9083, 583, 55651, 23545, 9759, 6608, 5718, 2109, 64093, 84665, 4205, 8550, 5063, 51660, 6925, 1738, 2212, 30817, 5566, 9130, 3135, 10210, 54361, 79633, 6786, 79048, 9529, 8924, 2158, 4214, 6885, 1950, 123016, 715, 3914, 54756, 8653, 1147, 3078, 55770, 1956, 6872, 51715, 359948, 6890, 10847, 6341, 64321, 26115, 1848, 23067, 2719, 8287, 23325, 57680, 6521, 6235, 114928, 9101, 3423, 54914, 57522, 57560, 56916, 4292, 7991, 25871, 1305, 6888, 6892, 5243, 9688, 1534, 4221, 6663, 640, 3714, 10329, 8029, 57169, 93166, 1316, 3340, 30008, 114798, 5351, 6231, 286151, 57055];[30008, 4205, 9759];3
41;[50511, 3795, 342035, 51206, 55599, 64518, 22871, 56203, 2316, 23135, 39, 26100, 633, 5034, 2304, 4281, 3953, 182, 1315, 5194, 148022, 2693, 11078, 5914, 5293, 51574, 57449, 51741, 9138, 865, 551, 80726, 6934, 3020, 10621, 2067, 776, 9581, 6533, 92345, 10295, 4593, 5071, 353, 6949, 51501, 1460, 57094, 4784, 90417, 1962, 570, 51134, 169026, 9060, 646, 63932, 8893, 8367, 10236, 23530, 3849, 10519, 514, 8915, 128637, 359, 55526, 5261, 318, 50651, 2035, 284654, 346171, 140732, 152110, 9427, 84295, 7552, 6137, 65993, 4808, 7403, 29899, 4838, 2512, 79827, 112939, 51293];[2693, 64518, 39, 3953, 1460, 6137, 51741, 23135];8
42;[5281, 5663, 6505, 22907, 157657, 51567, 5696, 3728, 25793, 583, 64857, 2192, 79709, 3481, 92255, 2904, 9631, 10083, 254528, 7512, 57505, 21, 1534, 57728, 25930, 11234, 9842, 9948, 157570, 5660, 2071, 136371, 90993, 140628, 92749, 5447, 7102, 29967, 2200, 6584, 581, 9782, 11149, 5915, 229, 164, 51473, 10020, 197131, 90167, 5156, 152816, 55505, 8292, 26224, 4214, 3604, 55172, 2997, 22873, 4222, 731, 10935, 8314, 9790, 200576, 79576, 113220, 56984, 51651, 1185, 7020, 1513, 7148, 1636, 54507, 4141, 2258, 5962, 79955, 5818, 10533, 4750, 1577, 7054, 2018, 150094, 4552, 51594];[10020, 54507, 7020, 7148, 2192, 2071];6
43;[7852, 353116, 558, 125336, 3594, 973, 8287, 1141, 6445, 26040, 3703, 6487, 4261, 26012, 93986, 8737, 54101, 57654, 4351, 345, 916, 653509, 59341, 6601, 5256, 121278, 55135, 1674, 3851, 3192, 57338, 7078, 3123, 5830, 23438, 6210, 8106, 285, 6908, 91039, 4582, 401024, 128674, 2672, 728294, 1062, 5147, 6609, 5095, 1857, 6772, 3549, 6662, 64902, 22931, 23554, 57572, 11136, 2778, 22861, 5321, 51412, 26580, 51135, 721, 54968, 6297, 55151, 79083, 7125, 8216, 84699, 56729, 54205, 11113, 5630, 3159, 23111, 64324, 79147, 1474, 85007, 10216, 54903, 3848, 8573, 81603, 6605, 4868];[1857, 1674, 3192, 57338, 26012, 5630];6
44;[54765, 547, 3930, 7200, 2036, 1476, 5318, 7170, 1795, 4311, 6853, 55627, 6584, 4905, 2531, 65078, 29978, 165, 4935, 10771, 6843, 339829, 30061, 7415, 79576, 8074, 10484, 4513, 1815, 3155, 118429, 345, 729238, 9056, 51343, 30011, 6929, 1462, 3814, 80331, 7102, 80173, 1123, 388552, 9200, 11014, 26115, 595, 9772, 210, 146057, 2984, 8787, 55505, 22983, 2316, 157657, 23230, 1814, 10644, 23040, 4867, 5770, 29927, 23001, 7056, 112858, 8550, 7298, 25814, 23097, 5589, 546, 25886, 6390, 26038, 207, 1737, 271, 22, 6559, 10102, 925, 29969, 8733, 1767, 116369, 6647, 3858];[4867, 4935, 2316, 2036, 1814];5
45;[55135, 10345, 54834, 5096, 2162, 56683, 2879, 1460, 241, 51126, 4053, 91869, 2673, 6840, 55215, 1080, 171023, 55037, 10801, 54968, 4141, 150094, 2273, 5073, 1327, 80705, 6820, 805, 23321, 3911, 5831, 7474, 3718, 9487, 22872, 582, 63915, 22900, 4041, 3887, 5972, 56910, 9672, 3048, 54664, 27315, 5111, 4920, 23395, 5832, 57104, 3187, 5313, 22858, 152816, 3674, 246213, 1387, 50964, 55262, 3712, 57122, 2296, 10382, 29127, 2000, 2799, 1776, 463, 7148, 6710, 999, 55012, 79784, 54790, 353238, 4507, 4728, 1690, 1337, 6854, 57152, 7289, 114928, 7965, 8726, 29078, 27247, 497661];[3048, 4728, 4141, 54968, 2799, 6840, 54834, 3187, 27315, 5111, 1080, 7965];12
46;[23347, 4626, 2782, 1182, 54880, 6820, 402381, 5825, 8496, 9533, 7046, 472, 4597, 84342, 81603, 4536, 25782, 3569, 79001, 64376, 10220, 270, 9381, 5376, 6448, 1140, 157570, 117531, 9096, 6505, 23516, 203068, 54938, 217, 23479, 91942, 4978, 51601, 4016, 51168, 10644, 3117, 91869, 4131, 2248, 2903, 2673, 219854, 3560, 2000, 55129, 51124, 55719, 23184, 56992, 4860, 2815, 22827, 2193, 246176, 10382, 58497, 53335, 109, 84693, 9987, 4589, 4035, 6311, 10585, 64093, 85366, 5518, 50511, 8893, 11019, 4838, 5076, 5592, 23233, 79827, 5741, 3972, 859, 55151, 6602, 26146, 57674, 9394];[9987, 4035];2
47;[79813, 196, 27031, 26115, 3145, 3074, 653509, 60676, 54704, 859, 221692, 81, 5696, 476, 1540, 644096, 2065, 4726, 6347, 55182, 1285, 3211, 9780, 2617, 6708, 3777, 10841, 374393, 3030, 1339, 204, 23498, 51251, 5340, 84131, 112752, 285440, 6928, 5324, 5940, 5459, 79648, 11019, 8879, 5429, 3070, 1828, 8291, 3094, 91949, 7345, 50846, 9719, 51067, 23236, 400916, 55065, 2908, 79827, 51259, 23334, 23265, 9096, 57190, 5241, 5699, 1822, 3035, 341640, 23389, 6572, 4589, 6455, 1583, 11152, 3350, 5879, 1650, 4796, 2990, 128178, 56896, 3930, 10844, 9627, 10733, 823, 538, 51199];[2065, 3094];2
48;[1513, 5476, 3708, 92255, 29969, 6578, 3029, 718, 695, 124093, 254528, 55644, 84706, 154288, 23636, 11141, 27183, 8363, 50628, 55670, 3192, 59067, 79776, 7399, 374291, 57010, 1299, 4009, 50814, 1021, 1339, 55135, 1583, 23230, 8777, 491, 137492, 140732, 6499, 990, 646, 2186, 2904, 3394, 10210, 7030, 2050, 60675, 4284, 112755, 8884, 5019, 2671, 28957, 57055, 4323, 2954, 6016, 4157, 200162, 3675, 998, 55603, 401474, 51109, 1468, 633, 3559, 8694, 29089, 23064, 221927, 128866, 9607, 7507, 1829, 6532, 9474, 54795, 5530, 118813, 7132, 2780, 4547, 5500, 7289, 324, 79048, 3508];[23064, 10210];2
49;[338, 2936, 5261, 362, 10093, 341640, 8905, 79581, 65993, 4909, 285600, 1969, 85478, 83844, 89876, 4615, 51294, 90, 6773, 488, 345, 5784, 9373, 55278, 65078, 9935, 10046, 6096, 84992, 8195, 7097, 1802, 5087, 3839, 126792, 8243, 9699, 5698, 6674, 55610, 23395, 51319, 9993, 5879, 118987, 5052, 56259, 410, 8898, 10625, 7545, 3777, 222546, 2626, 268, 23250, 9051, 55858, 7003, 55027, 9241, 1491, 10651, 29895, 9377, 6850, 51501, 84957, 8632, 26058, 4222, 79058, 4722, 137682, 5644, 2316, 4072, 1769, 4763, 5702, 387700, 9894, 2018, 51807, 1302, 1439, 4094, 8542, 1967];[7097, 5052, 4615];3
50;[112744, 55148, 63925, 1349, 22868, 2671, 2710, 8131, 9968, 318, 23516, 23189, 823, 27445, 2328, 5116, 23299, 5824, 2657, 55869, 8021, 669, 59345, 27031, 7360, 1200, 58494, 79791, 54205, 28960, 55773, 1723, 9451, 89884, 23639, 2483, 23162, 5184, 6597, 60495, 84572, 57449, 284098, 2243, 1600, 3508, 8462, 22, 65078, 1956, 146059, 51010, 7137, 2175, 5340, 9453, 1441, 9373, 54539, 79848, 23385, 1861, 581, 51726, 10463, 10861, 10560, 9663, 4210, 10846, 8312, 64221, 84919, 55812, 4713, 50, 10617, 55593, 1795, 4598, 5977, 3908, 5283, 7175, 10295, 5015, 55275, 6440, 6890];[6597, 7175, 4713, 823, 2175];5
51;[4632, 84168, 1959, 1535, 1889, 58508, 4359, 29081, 26137, 5293, 4041, 9939, 56160, 610, 55065, 11224, 51339, 26277, 23483, 23288, 23189, 645104, 3459, 7498, 79574, 9499, 25939, 23149, 10846, 6714, 6566, 55870, 3702, 497661, 23446, 3055, 6514, 5321, 1312, 3593, 6843, 84197, 4072, 55806, 55532, 57822, 6736, 6878, 2954, 6487, 396, 23133, 729920, 3028, 2120, 6530, 7273, 9180, 343637, 3857, 5091, 63931, 55969, 124997, 51091, 6327, 6934, 6201, 80224, 9871, 7140, 1009, 137492, 57017, 6663, 55036, 5019, 4157, 2702, 7920, 169792, 10019, 4851, 7156, 27130, 286, 129563, 81689, 10516];[4632, 396, 3028, 26277];4
52;[9935, 9533, 23600, 50640, 3655, 5002, 104, 23028, 84909, 5251, 1417, 5130, 80222, 2639, 1634, 9652, 6716, 4053, 60681, 11043, 10771, 5241, 57609, 283450, 92667, 55034, 79947, 57560, 23162, 55851, 375307, 8092, 5176, 7386, 443, 540, 6326, 80320, 7297, 2071, 4695, 6657, 79879, 199223, 26060, 5058, 79728, 55388, 64127, 1385, 51124, 3737, 11055, 3857, 63976, 55644, 2122, 23594, 2717, 242, 8621, 6576, 55212, 85476, 7067, 84520, 4351, 8291, 23729, 1730, 22926, 51322, 3763, 8493, 6688, 9821, 699, 7784, 6712, 374291, 27315, 55737, 3835, 80216, 1741, 4023, 2055, 24137, 4915];[84520, 55644];2
53;[11160, 117156, 84100, 28981, 10290, 26249, 5567, 128, 710, 7343, 8795, 79755, 51684, 1281, 8036, 1185, 220202, 7134, 1184, 79718, 491, 51692, 389434, 2296, 343641, 4774, 10661, 4539, 79784, 23516, 25839, 56975, 9652, 26100, 3098, 9607, 5307, 142680, 25981, 7067, 55033, 8660, 558, 4967, 6820, 344, 5083, 23586, 4337, 2626, 1786, 1261, 54862, 11232, 537, 6662, 26146, 2668, 200424, 3868, 224, 56246, 136647, 55081, 7385, 51241, 51082, 2324, 65062, 5828, 51083, 9907, 11285, 2010, 6915, 5147, 10324, 9371, 29957, 1285, 55215, 85358, 7703, 22995, 53904, 29894, 10075, 27316, 3426];[26146, 28981, 25839];3
54;[2146, 340061, 9969, 58484, 1777, 3954, 80347, 54914, 2671, 26092, 1654, 990, 51651, 340024, 7443, 2806, 23001, 9853, 5320, 4522, 545, 90993, 2263, 55505, 7783, 3845, 9373, 6709, 54936, 3035, 348, 1187, 815, 1380, 7994, 3899, 1353, 283, 1071, 7352, 801, 353238, 1294, 8815, 23126, 1496, 1267, 10216, 23443, 7139, 5978, 55621, 5583, 4703, 89765, 9517, 343035, 11078, 54938, 50846, 154881, 1302, 9442, 93627, 23511, 26128, 85478, 9895, 5193, 63901, 2998, 84146, 5393, 2312, 29920, 10347, 5654, 2328, 6328, 10043, 78989, 4626, 246243, 6299, 55129, 51317, 51163, 80173, 4153];[348, 5654];2
55;[23499, 6010, 92482, 23221, 90416, 51601, 51362, 6872, 55690, 164045, 23592, 84173, 9152, 4948, 6603, 55869, 10755, 2720, 894, 283450, 23230, 8989, 1116, 6418, 11330, 79753, 84100, 50485, 958, 6155, 151516, 8540, 1380, 7025, 2674, 987, 356, 5148, 2160, 4659, 55012, 2538, 1305, 10588, 779, 57096, 2488, 6392, 5224, 6892, 2566, 51168, 6554, 54822, 375748, 355, 4552, 11200, 3887, 51684, 6234, 5236, 2248, 80153, 23498, 80308, 9509, 26123, 64072, 9211, 79734, 644096, 10565, 55172, 2200, 1801, 55835, 54487, 5744, 29851, 375056, 22871, 79797, 1291, 26610, 6635, 8289, 6794, 112];[11200, 6794, 23221, 894];4
56;[4998, 80267, 4791, 343637, 387119, 4547, 3796, 23503, 10329, 6942, 3574, 5880, 4010, 8812, 755, 4068, 402381, 2542, 6208, 7054, 3123, 336, 3030, 79709, 94005, 11311, 4081, 51569, 203, 9197, 91875, 7957, 785, 55037, 64094, 6305, 335, 107, 3566, 998, 1499, 841, 1141, 8085, 9095, 219972, 6868, 2992, 84059, 79955, 10013, 5054, 5257, 4040, 128486, 1327, 2322, 10847, 8120, 535, 55904, 9829, 2533, 6554, 64857, 6616, 147138, 5932, 158401, 23086, 6310, 7030, 4359, 4632, 79005, 58484, 26227, 64170, 6583, 246243, 221927, 3674, 71, 1428, 975, 51633, 1497, 2335, 387733];[8812, 6310, 1327];3
57;[4481, 3508, 4292, 55969, 2334, 23418, 1909, 9562, 57647, 5339, 1131, 4352, 2232, 50615, 388753, 1421, 25978, 4683, 513, 3952, 629, 55858, 338328, 801, 147912, 27102, 121214, 64175, 1837, 54499, 51520, 5331, 57534, 6777, 8863, 8139, 80025, 7143, 3188, 10695, 55628, 79719, 63035, 5800, 23118, 348, 9414, 5557, 4589, 3514, 23461, 51741, 11081, 100128927, 486, 51475, 9244, 79784, 4976, 9361, 6125, 5396, 7054, 5894, 3033, 112476, 4884, 1737, 6654, 10269, 7026, 2521, 3762, 29968, 51778, 8737, 7507, 7352, 80320, 6301, 54914, 7454, 6584, 145226, 221692, 57589, 5184, 10491, 4647];[3514, 7507, 4292];3
58;[284111, 84300, 28960, 1428, 23193, 59344, 55603, 10841, 8642, 55084, 7552, 378884, 2673, 10134, 5530, 55610, 6742, 401474, 258, 55691, 55739, 3514, 55262, 5159, 9342, 8028, 87178, 5860, 23007, 2158, 805, 1650, 6262, 7507, 2108, 11322, 399, 6929, 444, 3208, 90, 4689, 5896, 2035, 137392, 83449, 2811, 197322, 4626, 6138, 55703, 2720, 55770, 125336, 9627, 27089, 118813, 152926, 4638, 4538, 84833, 5236, 64864, 54658, 51626, 3800, 55107, 89884, 10625, 57165, 26229, 1457, 9129, 11154, 920, 83483, 217, 9750, 25828, 55343, 10551, 1776, 51163, 2719, 6654, 197135, 8890, 7343, 4000];[10841, 444, 10551];3
59;[7137, 311, 9381, 653361, 84148, 2743, 5800, 3815, 51163, 375307, 6399, 22983, 3784, 799, 55065, 5159, 4352, 396, 3690, 2103, 4646, 81555, 79574, 4436, 4538, 23334, 2056, 8021, 54870, 5430, 407, 4868, 6792, 6949, 131669, 54872, 389434, 1137, 29895, 4594, 5443, 51004, 65260, 55714, 7552, 4624, 1415, 57187, 5836, 25788, 79641, 6231, 1736, 22796, 9562, 2563, 79991, 4204, 113246, 1742, 2224, 9338, 81607, 64324, 10021, 54800, 4137, 57680, 9663, 10347, 25794, 25821, 23636, 57017, 9128, 29954, 140628, 4744, 9294, 51083, 9969, 28981, 26058, 1496, 4214, 2006, 1193, 10717, 6840];[1193, 6399];2
60;[11128, 23522, 54968, 2257, 1743, 210, 80169, 29954, 1428, 4790, 246176, 10456, 55503, 25977, 79798, 2066, 23261, 1062, 29914, 8431, 5076, 653509, 25959, 2038, 8028, 150274, 58, 80210, 57017, 1317, 2890, 51083, 6886, 6138, 3643, 1968, 966, 51729, 80216, 5087, 57152, 3455, 4519, 3872, 64840, 23385, 4938, 498, 1302, 777, 139212, 6654, 4158, 55621, 144165, 58494, 2784, 91942, 6005, 284217, 4014, 87, 80222, 1802, 3717, 5770, 10916, 5428, 7175, 2729, 1174, 147495, 55036, 23126, 131377, 6182, 26277, 83483, 212, 6662, 3796, 343637, 56910, 125170, 60561, 10524, 56171, 10586, 1371];[246176, 25959, 139212, 10456, 10524];5
61;[57520, 1075, 23533, 23321, 9853, 129685, 8294, 51626, 10379, 9338, 4893, 55603, 64321, 122961, 4281, 4688, 773, 84634, 640, 22827, 23111, 2625, 9526, 5199, 10733, 64221, 3579, 1299, 26275, 6916, 3299, 3703, 4072, 1468, 10083, 5053, 26229, 5350, 5257, 174, 3490, 50515, 10021, 22858, 4035, 2137, 102, 5740, 85366, 57522, 51715, 5130, 84984, 9785, 51185, 112476, 54941, 2627, 9863, 126792, 6103, 51738, 4891, 163183, 51134, 23405, 23443, 899, 5660, 2120, 282996, 54820, 11281, 3559, 1968, 169522, 25861, 85476, 10220, 199713, 55689, 84140, 2997, 871, 7074, 81, 317761, 1291, 6909];[22827, 773, 4035];3
62;[4052, 4893, 7809, 24140, 2153, 8647, 731, 145645, 10413, 477, 672, 2313, 7401, 10397, 286887, 80114, 11081, 4604, 91452, 10613, 5962, 581, 9722, 54806, 4292, 4891, 23279, 2911, 55699, 9895, 91179, 4598, 10939, 199223, 5352, 5048, 10430, 3912, 90, 124404, 9187, 8518, 57169, 55906, 5568, 80311, 9731, 55107, 2324, 23229, 9200, 4645, 9149, 546, 79659, 51117, 7148, 23097, 7372, 54936, 8379, 4153, 23126, 285600, 387700, 5116, 57817, 4761, 246243, 8914, 9445, 22871, 6910, 51204, 7225, 5949, 51259, 2487, 51684, 4968, 23184, 10283, 5981, 6336, 93233, 348938, 84946, 144165, 3845];[23184, 199223];2
63;[84700, 7222, 7174, 9247, 51126, 3848, 79650, 4087, 5080, 1500, 10060, 267, 2120, 481, 6886, 27232, 2642, 85358, 9131, 286887, 8573, 7399, 51473, 6094, 55733, 3978, 57054, 6605, 23767, 7020, 118, 10695, 84342, 6597, 4093, 8204, 3980, 56992, 6697, 3860, 4285, 91039, 3560, 5307, 157680, 51738, 274, 4901, 11043, 4507, 83894, 4091, 5122, 146057, 10771, 3763, 9071, 9197, 8891, 2893, 23636, 112939, 115908, 91647, 339983, 10011, 6305, 435, 4792, 4598, 1861, 93649, 23432, 128, 54205, 9509, 6999, 81607, 9782, 80216, 145173, 285489, 5568, 27161, 93, 5116, 3908, 6709, 4891];[286887, 3848, 6605, 3860, 23636];5
64;[9056, 2200, 4125, 5111, 55753, 1646, 1730, 1277, 197131, 5429, 6884, 55681, 1605, 51412, 6338, 1741, 84984, 10280, 23090, 162, 3149, 84617, 22845, 7175, 11077, 9060, 6326, 7045, 57591, 2773, 84572, 26525, 197135, 2122, 64087, 55596, 7169, 1857, 6607, 7067, 51780, 9080, 6742, 113220, 51651, 9516, 27316, 55651, 9499, 55627, 5281, 100128927, 5106, 7138, 60681, 1650, 60684, 5981, 80776, 84700, 8675, 3709, 7227, 10102, 79796, 29968, 57492, 57165, 51135, 6911, 3162, 2624, 256297, 54413, 710, 2741, 23013, 5740, 22861, 55630, 84833, 84668, 132, 7545, 91662, 545, 359, 83872, 2642];[9060, 11077, 7175, 2122, 84984, 100128927];6
65;[1824, 4194, 4038, 121391, 7172, 9060, 7125, 3784, 123606, 4625, 80254, 51715, 1559, 54982, 22880, 162, 9326, 9570, 658, 471, 57514, 501, 23387, 6016, 4654, 283450, 1642, 4536, 9731, 261734, 1656, 6535, 22948, 2798, 3791, 5095, 1678, 831, 8671, 10526, 29978, 2313, 2316, 833, 1959, 10913, 1041, 378884, 5230, 1116, 1285, 2022, 55172, 2214, 3640, 8517, 4644, 6620, 6103, 7030, 9990, 668, 5476, 123264, 3229, 29899, 55733, 735, 3746, 506, 137682, 203286, 4214, 56244, 375611, 9782, 23418, 2678, 203190, 2155, 79853, 51574, 5538, 7515, 3892, 7862, 95, 55746, 1585];[1041, 29978];2
66;[3691, 5689, 6528, 5648, 8139, 4720, 1439, 125988, 57572, 115399, 10686, 27232, 229, 1545, 825, 54361, 8913, 91147, 91, 6890, 4026, 3839, 3612, 6232, 2318, 6605, 10653, 1981, 5087, 58484, 11023, 1730, 6555, 57551, 10125, 3070, 4982, 2010, 2160, 3861, 84888, 6472, 34, 8405, 27245, 80267, 5321, 57010, 2232, 2902, 29894, 9702, 23586, 3658, 3454, 64601, 54845, 4001, 2212, 2161, 5424, 4935, 22861, 3482, 24137, 6506, 219736, 10280, 26090, 3795, 10664, 9149, 4927, 3630, 91137, 7051, 4891, 72, 7167, 8625, 5294, 81790, 4143, 1848, 2324, 79650, 56997, 171023, 6095];[5689, 11023];2
67;[8867, 347734, 11011, 128486, 5333, 1617, 54795, 54808, 55505, 1968, 2771, 801, 8754, 1815, 715, 80222, 30000, 9493, 344, 55636, 440275, 7879, 4653, 6714, 4487, 916, 617, 113246, 21, 7222, 56997, 4128, 396, 23005, 5193, 6558, 324, 9780, 7291, 1272, 776, 538, 3553, 57096, 1297, 9928, 84033, 4308, 4544, 1468, 79717, 1385, 83605, 1962, 5978, 54583, 3853, 4329, 10625, 2184, 6757, 5346, 1278, 672, 1621, 84189, 1825, 51626, 1363, 9158, 56947, 56479, 23118, 2122, 83893, 81624, 3236, 3845, 4043, 1678, 271, 84701, 1384, 374654, 383, 5265, 6555, 60558, 284654];[672, 84033, 57096];3
68;[10367, 81689, 3162, 3376, 79023, 6834, 160418, 4728, 25939, 8443, 708, 9181, 3570, 79641, 55737, 26137, 29123, 6477, 8402, 958, 84265, 10273, 80776, 64093, 3818, 51053, 4938, 8991, 2990, 554, 9138, 4998, 23418, 259266, 1854, 6609, 23594, 64787, 50674, 112752, 5184, 3181, 1412, 5442, 4638, 26277, 84433, 23592, 7156, 1305, 2806, 5192, 137492, 157922, 1337, 28982, 93233, 80169, 79092, 84660, 338657, 3952, 9969, 7490, 7277, 4313, 91754, 23451, 5566, 4010, 6770, 11261, 2053, 6809, 6638, 587, 1837, 149371, 27445, 3741, 1906, 439, 9837, 5978, 2742, 51079, 11151, 4901, 27130];[10273, 26277, 5566];3
69;[26057, 23780, 5528, 208, 84733, 5837, 5313, 24140, 150094, 6697, 2334, 6892, 26258, 8242, 26047, 1147, 5298, 23036, 579, 3030, 545, 11093, 4141, 84701, 1063, 7050, 2035, 56652, 6620, 10565, 8481, 226, 10625, 3718, 64601, 90, 4163, 57169, 7879, 7317, 594, 25802, 3315, 2645, 4689, 5428, 23385, 1802, 318, 8659, 23312, 4337, 2027, 54968, 317662, 401474, 7421, 8091, 847, 646, 23094, 6731, 5274, 51163, 10861, 6789, 2903, 8289, 137814, 23022, 51651, 90416, 8996, 6532, 403, 6638, 5826, 93649, 1071, 6314, 5161, 3972, 4070, 7293, 727857, 55367, 10297, 112755, 51750];[90416, 6731, 5837, 3315];4
70;[57178, 7174, 29967, 7552, 7994, 4695, 2335, 718, 23094, 84295, 152816, 9987, 10324, 242, 89869, 7043, 57216, 4519, 9354, 54332, 6949, 95, 55617, 2990, 79971, 4780, 8050, 160418, 79693, 57674, 79776, 3858, 2099, 140628, 9371, 506, 3716, 91801, 894, 54681, 2517, 10644, 9179, 10195, 8924, 5290, 4720, 113278, 55870, 1024, 79955, 2729, 3251, 54880, 4914, 2584, 3664, 3229, 9581, 547, 6117, 9897, 116931, 2706, 28962, 3911, 84905, 7545, 8086, 51112, 1147, 283489, 1859, 10293, 30011, 64221, 5885, 540, 1462, 3981, 112, 3710, 25814, 6324, 7051, 26610, 3373, 7075, 57724];[9987, 6117, 3858, 25814, 4695, 506, 2335];7
71;[10383, 153201, 1748, 1583, 11117, 56259, 80704, 2034, 80232, 440435, 10309, 2992, 89869, 2130, 4716, 8802, 6929, 5557, 1062, 1107, 55229, 402381, 284403, 283987, 118987, 2539, 9562, 9354, 7436, 59, 4920, 8313, 27315, 7054, 352909, 54938, 9969, 25953, 54443, 51079, 155, 83700, 5966, 9094, 10210, 80184, 387, 9698, 4709, 57560, 23474, 54084, 55806, 343035, 55325, 1028, 56683, 11160, 916, 8309, 340719, 129880, 55084, 1021, 5981, 1605, 109, 1161, 1103, 11141, 2530, 85452, 253738, 3661, 4722, 79576, 22978, 6934, 80144, 79087, 1339, 7528, 3229, 5009, 6916, 6907, 80169, 7358, 1468];[2130, 56683, 2034, 3661];4
72;[258, 1314, 92749, 3778, 2120, 2299, 2917, 1203, 136371, 65250, 5859, 1105, 8526, 7080, 54658, 217, 4597, 8092, 93627, 81846, 37, 11232, 1415, 9568, 4883, 4285, 346171, 9672, 54834, 6773, 8799, 112744, 11311, 5264, 5073, 23219, 54463, 8292, 23451, 3753, 10551, 27148, 221692, 7078, 5551, 84317, 84699, 5236, 23291, 8996, 55131, 2778, 54487, 2563, 51204, 284098, 4967, 55084, 117156, 4540, 29078, 51475, 1019, 4437, 128869, 51434, 7809, 3868, 84071, 6548, 5894, 4803, 5593, 7532, 9533, 64072, 1968, 6774, 84668, 28960, 5962, 9179, 5297, 6813, 10991, 54941, 9524, 102, 10845];[5859, 7532, 5894, 1019];4
73;[1781, 2058, 84146, 136647, 1417, 9517, 6399, 1351, 57054, 338917, 80816, 23229, 7837, 84314, 5216, 1802, 83480, 8050, 5357, 134218, 4157, 1141, 9526, 90121, 51651, 1585, 1500, 54187, 10019, 7291, 10659, 2746, 9371, 25913, 28962, 1719, 92667, 57338, 10525, 89869, 1380, 6299, 85365, 4436, 2244, 10847, 5476, 4683, 353238, 9790, 54209, 284654, 8382, 23118, 1000, 51324, 5138, 2735, 50485, 83700, 4747, 22872, 23363, 10128, 6100, 4761, 55186, 2071, 79868, 1308, 4649, 2053, 118429, 8284, 1474, 54820, 1284, 55034, 23385, 10049, 10664, 5745, 54977, 23499, 79648, 10137, 81555, 1789, 5376];[5376, 338917, 4747, 57338, 8382];5
